T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
23.313	23.063	23.500	23.063	23.188	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.188	22.938	23.313	22.938	23.063	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.063	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.875	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.188	22.875	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.188	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.875	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.188	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.875	23.375	22.938	23.063	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.063	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.188	22.875	23.313	22.938	23.063	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.188	22.875	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.188	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.188	22.875	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.875	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.875	23.313	22.938	23.125	23.000	23.125	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.875	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.188	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.875	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.063	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.875	23.313	22.938	23.063	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.875	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.000	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	22.938	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	22.938	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.375	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	22.938	23.188	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.125	23.313	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.375	23.125	23.563	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.375	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.375	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.188	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.875	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.875	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.188	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.875	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.875	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.063	23.500	23.063	23.250	22.938	23.313	22.938	23.125	23.000	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	23.000	23.125	23.063	23.188	22.938	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.125	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	22.938	23.188	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.063	23.188	23.000	23.250	23.063	22.688	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	22.938	23.125	23.000	23.188	23.000	23.188	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.000	23.188	23.000	23.250	23.063	22.750	22.938	
23.313	23.125	23.500	23.063	23.250	22.938	23.375	23.000	23.125	23.063	23.188	22.938	23.250	23.063	22.688	22.938	
